route_id,origin_city,origin_state,destination_city,destination_state,typical_distance_miles,typical_transit_days,booking_type,historical_load_volume,baseline_avg_rpm,baseline_avg_mpg
RTE00036,Las Vegas,NV,Los Angeles,CA,262,1,Dedicated,745,3.13,6.5
RTE00032,Portland,OR,Detroit,MI,2259,3,Spot,380,2.16,6.48
RTE00045,Charlotte,NC,Memphis,TN,597,1,Dedicated,729,2.61,6.55
RTE00039,Minneapolis,MN,Atlanta,GA,1044,1,Spot,358,2.43,6.52
RTE00010,New York,NY,Philadelphia,PA,92,1,Dedicated,739,2.51,6.47
RTE00019,Houston,TX,Detroit,MI,1271,2,Contract,361,2.63,6.49
RTE00021,Houston,TX,Portland,OR,2108,3,Contract,366,2.69,6.45
RTE00004,Chicago,IL,Portland,OR,2017,3,Dedicated,714,2.02,6.53
RTE00015,Philadelphia,PA,New York,NY,92,1,Dedicated,794,3.63,6.49
RTE00022,Houston,TX,Memphis,TN,557,1,Spot,344,2.3,6.47
RTE00005,Chicago,IL,Las Vegas,NV,1749,3,Contract,365,2.64,6.49
RTE00020,Houston,TX,Seattle,WA,2172,3,Dedicated,735,2.09,6.45
RTE00023,Miami,FL,Dallas,TX,1276,2,Spot,343,2.48,6.47
RTE00001,Atlanta,GA,Chicago,IL,677,1,Spot,371,1.94,6.5
RTE00033,Portland,OR,Seattle,WA,167,1,Contract,374,3.03,6.5
RTE00058,Kansas City,MO,Indianapolis,IN,519,1,Dedicated,729,2.51,6.52
RTE00049,Columbus,OH,Minneapolis,MN,720,1,Contract,353,2.85,6.48
RTE00003,Chicago,IL,Los Angeles,CA,2003,3,Dedicated,743,2.79,6.5
RTE00014,Phoenix,AZ,Kansas City,MO,1204,2,Spot,377,2.33,6.53
RTE00053,Kansas City,MO,Atlanta,GA,777,1,Contract,342,2.64,6.48
RTE00006,Chicago,IL,Charlotte,NC,675,1,Spot,363,2.46,6.47
RTE00042,Charlotte,NC,Seattle,WA,2623,4,Dedicated,716,2.52,6.49
RTE00029,Seattle,WA,Charlotte,NC,2623,4,Spot,379,2.75,6.46
RTE00056,Kansas City,MO,Portland,OR,1718,2,Spot,376,2.61,6.54
RTE00055,Kansas City,MO,Miami,FL,1429,2,Dedicated,737,2.74,6.48
RTE00057,Kansas City,MO,Charlotte,NC,921,1,Spot,372,2.74,6.54
RTE00030,Seattle,WA,Indianapolis,IN,2147,3,Spot,367,2.76,6.46
RTE00017,Philadelphia,PA,Minneapolis,MN,1130,1,Dedicated,686,2.15,6.52
RTE00008,Dallas,TX,Denver,CO,762,1,Spot,354,2.77,6.51
RTE00053,Kansas City,MO,Atlanta,GA,777,1,Spot,357,2.63,6.51
RTE00051,Memphis,TN,Los Angeles,CA,1840,3,Contract,353,2.08,6.55
RTE00027,Detroit,MI,Houston,TX,1271,2,Dedicated,756,2.35,6.48
RTE00041,Minneapolis,MN,Houston,TX,1216,2,Dedicated,660,2.94,6.51
RTE00048,Columbus,OH,Portland,OR,2332,4,Dedicated,737,2.99,6.51
RTE00050,Columbus,OH,Kansas City,MO,712,1,Dedicated,711,2.22,6.5
RTE00056,Kansas City,MO,Portland,OR,1718,2,Contract,359,2.62,6.5
RTE00046,Columbus,OH,Los Angeles,CA,2269,3,Dedicated,761,2.9,6.53
RTE00005,Chicago,IL,Las Vegas,NV,1749,3,Spot,338,2.63,6.53
RTE00025,Miami,FL,Seattle,WA,3141,5,Spot,362,1.8,6.51
RTE00025,Miami,FL,Seattle,WA,3141,5,Contract,376,1.8,6.49
RTE00038,Las Vegas,NV,Kansas City,MO,1311,2,Dedicated,712,2.91,6.52
RTE00001,Atlanta,GA,Chicago,IL,677,1,Contract,398,1.95,6.54
RTE00040,Minneapolis,MN,Los Angeles,CA,1749,3,Dedicated,711,2.64,6.5
RTE00026,Miami,FL,Denver,CO,1984,3,Dedicated,729,1.97,6.47
RTE00007,Dallas,TX,New York,NY,1576,2,Dedicated,746,2.82,6.47
